0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,duplicateShortTypeName,[view.SocialDistancingViewImpl, SocialDistancingViewImpl]
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameNotInDictionary,view.SocialDistancingViewImpl,impl
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,publicMethodsOverride,[]
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,methodAccessModifierUnmatched,propertyChange:java.beans.PropertyChangeEvent->void,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,main/DerivingMain.java,tags,@SocialDistanceMVCDerivingMain
0,Mon Sep 14 23:09:06 EDT 2020,true,main/DerivingMain.java,nameInDictionary,main.DerivingMain,main
0,Mon Sep 14 23:09:06 EDT 2020,true,main/DerivingMain.java,nameInDictionary,main.DerivingMain,deriving
0,Mon Sep 14 23:09:06 EDT 2020,true,main/DerivingMain.java,nameInDictionary,args,args
0,Mon Sep 14 23:09:06 EDT 2020,true,main/DerivingMain.java,duplicateShortTypeName,[main.DerivingMain, DerivingMain]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,model.SocialDistancingModel,model
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,model.SocialDistancingModel,social
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,model.SocialDistancingModel,distancing
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,DISTANCE,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,DURATION,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,EXHALATION_LEVEL,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,EXHALATION_LEVEL,level
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,SAFE,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,distance,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,duration,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,exhalationLevel,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,exhalationLevel,level
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,nameInDictionary,listener,listener
0,Mon Sep 14 23:09:06 EDT 2020,true,model/SocialDistancingModel.java,duplicateShortTypeName,[SocialDistancingModel, model.SocialDistancingModel]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,model.AbstractModel,model
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,model.AbstractModel,abstract
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,propertyChangeSupport,property
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,propertyChangeSupport,change
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,propertyChangeSupport,support
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,distance,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,duration,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,exhalationLevel,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,exhalationLevel,level
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,safe,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldDistance,old
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldDistance,distance
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldDuration,old
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldDuration,duration
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldExhalationLevel,old
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldExhalationLevel,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldExhalationLevel,level
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldSafe,old
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,oldSafe,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,nameInDictionary,listener,listener
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,publicMethodsDoNotOverride,[public  getDistance:->int, public  getDuration:->int, public  getExhalationLevel:->int, public  isSafe:->boolean, public  setInput:int;int;int->void]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,methodAccessModifierMatched,getDistance:->int,public,[model.InterpolatingModel, util.SocialDistancingUtil],[package, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,methodAccessModifierMatched,getDuration:->int,public,[model.InterpolatingModel, util.SocialDistancingUtil],[package, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,methodAccessModifierMatched,getExhalationLevel:->int,public,[model.InterpolatingModel, util.SocialDistancingUtil],[package, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,methodAccessModifierMatched,setInput:int;int;int->void,public,[controller.ConsoleSocialDistancingController],[public]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,peerCommonProperties,readonly  p-v:1 access:public ExhalationLevel:int(public , null),AbstractModel,data.Combination
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,peerCommonProperties,readonly  p-v:1 access:public Duration:int(public , null),AbstractModel,data.Combination
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,peerCommonProperties,readonly  p-v:1 access:public Distance:int(public , null),AbstractModel,data.Combination
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,methodAccessModifierUnmatched,isSafe:->boolean,public,private,3,[model.AbstractModel],[private]
0,Mon Sep 14 23:09:06 EDT 2020,true,model/AbstractModel.java,methodAccessModifierUnmatched,addPropertyChangeListener:java.beans.PropertyChangeListener->void,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingView.java,nameInDictionary,view.SocialDistancingView,view
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingView.java,nameInDictionary,view.SocialDistancingView,social
